Course ID,Course Name,Subject,Description,Instructor,Level,Duration,Language,Price,Rating,Enrollment,Skills Covered,Prerequisites,Lecture Video URL,Quiz URL,Assignment URL,Discussion Forum URL,Completion Certificate
MAT000,Mathematics Course 1,Mathematics,This course covers various topics in Mathematics.,John Doe,Beginner,14,English,130.24,3.17,5547,"Skill 1, Skill 4",,https://www.example.com/mathematics/lecture_0,https://www.example.com/mathematics/quiz_0,https://www.example.com/mathematics/assignment_0,https://www.example.com/mathematics/forum_0,No
MAT001,Mathematics Course 2,Mathematics,This course covers various topics in Mathematics.,John Doe,Intermediate,32,English,133.06,4.28,1111,"Skill 1, Skill 3",,https://www.example.com/mathematics/lecture_1,https://www.example.com/mathematics/quiz_1,https://www.example.com/mathematics/assignment_1,https://www.example.com/mathematics/forum_1,Yes
MAT002,Mathematics Course 3,Mathematics,This course covers various topics in Mathematics.,John Doe,Advanced,49,French,30.89,4.41,5748,"Skill 1, Skill 3, Skill 4","Prereq 3, Prereq 2, Prereq 1",https://www.example.com/mathematics/lecture_2,https://www.example.com/mathematics/quiz_2,https://www.example.com/mathematics/assignment_2,https://www.example.com/mathematics/forum_2,No
MAT003,Mathematics Course 4,Mathematics,This course covers various topics in Mathematics.,John Doe,Beginner,33,Spanish,70.89,2.69,5840,Skill 2,Prereq 2,https://www.example.com/mathematics/lecture_3,https://www.example.com/mathematics/quiz_3,https://www.example.com/mathematics/assignment_3,https://www.example.com/mathematics/forum_3,Yes
MAT004,Mathematics Course 5,Mathematics,This course covers various topics in Mathematics.,John Doe,Intermediate,32,French,55.49,3.58,5514,"Skill 1, Skill 2, Skill 4",,https://www.example.com/mathematics/lecture_4,https://www.example.com/mathematics/quiz_4,https://www.example.com/mathematics/assignment_4,https://www.example.com/mathematics/forum_4,No
MAT005,Mathematics Course 6,Mathematics,This course covers various topics in Mathematics.,John Doe,Advanced,32,Spanish,33.67,2.07,9175,"Skill 2, Skill 4","Prereq 3, Prereq 2, Prereq 1",https://www.example.com/mathematics/lecture_5,https://www.example.com/mathematics/quiz_5,https://www.example.com/mathematics/assignment_5,https://www.example.com/mathematics/forum_5,Yes
MAT006,Mathematics Course 7,Mathematics,This course covers various topics in Mathematics.,John Doe,Beginner,15,English,162.31,4.48,1968,Skill 2,"Prereq 1, Prereq 3",https://www.example.com/mathematics/lecture_6,https://www.example.com/mathematics/quiz_6,https://www.example.com/mathematics/assignment_6,https://www.example.com/mathematics/forum_6,Yes
MAT007,Mathematics Course 8,Mathematics,This course covers various topics in Mathematics.,John Doe,Intermediate,34,English,112.28,3.4,7799,"Skill 4, Skill 2, Skill 3, Skill 1","Prereq 1, Prereq 2",https://www.example.com/mathematics/lecture_7,https://www.example.com/mathematics/quiz_7,https://www.example.com/mathematics/assignment_7,https://www.example.com/mathematics/forum_7,No
MAT008,Mathematics Course 9,Mathematics,This course covers various topics in Mathematics.,John Doe,Advanced,43,English,78.56,1.9,5438,"Skill 4, Skill 1","Prereq 1, Prereq 3",https://www.example.com/mathematics/lecture_8,https://www.example.com/mathematics/quiz_8,https://www.example.com/mathematics/assignment_8,https://www.example.com/mathematics/forum_8,Yes
MAT009,Mathematics Course 10,Mathematics,This course covers various topics in Mathematics.,John Doe,Advanced,44,English,25.56,2.39,2701,"Skill 4, Skill 1, Skill 2","Prereq 3, Prereq 2",https://www.example.com/mathematics/lecture_9,https://www.example.com/mathematics/quiz_9,https://www.example.com/mathematics/assignment_9,https://www.example.com/mathematics/forum_9,No
MAT010,Mathematics Course 11,Mathematics,This course covers various topics in Mathematics.,John Doe,Beginner,21,French,192.58,1.71,8624,Skill 1,Prereq 2,https://www.example.com/mathematics/lecture_10,https://www.example.com/mathematics/quiz_10,https://www.example.com/mathematics/assignment_10,https://www.example.com/mathematics/forum_10,Yes
MAT011,Mathematics Course 12,Mathematics,This course covers various topics in Mathematics.,John Doe,Advanced,29,Spanish,176.52,4.86,2124,"Skill 4, Skill 2",,https://www.example.com/mathematics/lecture_11,https://www.example.com/mathematics/quiz_11,https://www.example.com/mathematics/assignment_11,https://www.example.com/mathematics/forum_11,No
MAT012,Mathematics Course 13,Mathematics,This course covers various topics in Mathematics.,John Doe,Intermediate,32,Spanish,159.85,4.63,6904,"Skill 1, Skill 2, Skill 4",,https://www.example.com/mathematics/lecture_12,https://www.example.com/mathematics/quiz_12,https://www.example.com/mathematics/assignment_12,https://www.example.com/mathematics/forum_12,Yes
MAT013,Mathematics Course 14,Mathematics,This course covers various topics in Mathematics.,John Doe,Advanced,45,Spanish,164.42,3.25,4706,Skill 4,Prereq 2,https://www.example.com/mathematics/lecture_13,https://www.example.com/mathematics/quiz_13,https://www.example.com/mathematics/assignment_13,https://www.example.com/mathematics/forum_13,Yes
MAT014,Mathematics Course 15,Mathematics,This course covers various topics in Mathematics.,John Doe,Advanced,6,French,44.02,4.39,6523,Skill 4,Prereq 2,https://www.example.com/mathematics/lecture_14,https://www.example.com/mathematics/quiz_14,https://www.example.com/mathematics/assignment_14,https://www.example.com/mathematics/forum_14,No
MAT015,Mathematics Course 16,Mathematics,This course covers various topics in Mathematics.,John Doe,Advanced,9,French,170.27,3.49,3830,Skill 2,Prereq 2,https://www.example.com/mathematics/lecture_15,https://www.example.com/mathematics/quiz_15,https://www.example.com/mathematics/assignment_15,https://www.example.com/mathematics/forum_15,Yes
MAT016,Mathematics Course 17,Mathematics,This course covers various topics in Mathematics.,John Doe,Advanced,8,English,59.74,3.85,634,Skill 1,Prereq 1,https://www.example.com/mathematics/lecture_16,https://www.example.com/mathematics/quiz_16,https://www.example.com/mathematics/assignment_16,https://www.example.com/mathematics/forum_16,No
