Title,Description,Author/Instructor,Topic/Subject,Difficulty Level,Format,Duration/Length,Price,Reviews,Tags/Keywords,Resource ID,Time Spent (minutes)_x,Topics/Subjects of Interest_x,Preferred Learning Formats_x,Learning Goals/Objectives_x,Interaction Type,Timestamp,Duration Spent (minutes),User ID,Ratings,Publication Year,Citation Count,Popularity Score,Online Courses,Educational Apps
Advanced Statistics Concepts,A comprehensive guide to Statistics.,Christopher Anderson,Statistics,Beginner,Interactive,4.0,10.0,100.0,Statistics,118,99,Renewable Energy,Video,Gain new skills,View,2024-03-17 19:35:37.848231,65,1001,1.7648037712932083,2005,912,3.5279550302732687,Materials Science Lab,ElectriEdu
Advanced International Relations Concepts,A comprehensive guide to International Relations.,Michael Wilson,International Relations,Intermediate,Text,6.0,30.0,26.0,International Relations,1641,118,Cultural Studies,Video,Gain new skills,View,2024-03-29 19:35:37.842203,14,1001,3.979411116242384,2013,225,7.902008162046707,Renewable Energy Solutions,CognoCraft
Mastering Marketing,A comprehensive guide to Marketing.,David Johnson,Marketing,Beginner,Text,6.0,20.0,23.0,Marketing,1548,16,Journalism,Interactive,Personal interest,View,2024-04-08 19:35:37.842203,59,1002,3.351088918712124,2001,725,5.168355974742875,Business Administration Bootcamp,MusicMagic
Mastering Marketing,A comprehensive guide to Marketing.,David Johnson,Marketing,Beginner,Text,6.0,20.0,23.0,Marketing,1548,16,Journalism,Interactive,Personal interest,View,2024-04-08 19:35:37.842203,59,1015,4.770264618723493,2001,725,5.168355974742875,Chemistry Essentials,MateriMagic
Mastering Marketing,A comprehensive guide to Marketing.,David Johnson,Marketing,Beginner,Text,6.0,20.0,23.0,Marketing,1548,16,Journalism,Interactive,Personal interest,Bookmark,2024-03-23 19:35:37.842203,2,1002,3.351088918712124,2001,725,5.168355974742875,Digital Marketing Strategies,CodeCraft
Mastering Marketing,A comprehensive guide to Marketing.,David Johnson,Marketing,Beginner,Text,6.0,20.0,23.0,Marketing,1548,16,Journalism,Interactive,Personal interest,Bookmark,2024-03-23 19:35:37.842203,2,1015,4.770264618723493,2001,725,5.168355974742875,Linguistics Lab,CultAnthro
Mastering Marketing,A comprehensive guide to Marketing.,David Johnson,Marketing,Beginner,Text,6.0,20.0,23.0,Marketing,1548,78,Information Technology,Video,Gain new skills,View,2024-04-08 19:35:37.842203,59,1002,3.351088918712124,2001,725,5.168355974742875,Operations Management Mastery,BioBuddy
Mastering Marketing,A comprehensive guide to Marketing.,David Johnson,Marketing,Beginner,Text,6.0,20.0,23.0,Marketing,1548,78,Information Technology,Video,Gain new skills,View,2024-04-08 19:35:37.842203,59,1015,4.770264618723493,2001,725,5.168355974742875,Renewable Energy Solutions,GameGenius
Mastering Marketing,A comprehensive guide to Marketing.,David Johnson,Marketing,Beginner,Text,6.0,20.0,23.0,Marketing,1548,78,Information Technology,Video,Gain new skills,Bookmark,2024-03-23 19:35:37.842203,2,1002,3.351088918712124,2001,725,5.168355974742875,Statistical Analysis Workshop,DigitalMark
Mastering Marketing,A comprehensive guide to Marketing.,David Johnson,Marketing,Beginner,Text,6.0,20.0,23.0,Marketing,1548,78,Information Technology,Video,Gain new skills,Bookmark,2024-03-23 19:35:37.842203,2,1015,4.770264618723493,2001,725,5.168355974742875,Linguistics Lab,LitLearn
Introduction to Engineering,A comprehensive guide to Engineering.,Kevin Lee,Engineering,Beginner,Text,12.0,50.0,80.0,Engineering,1548,16,Journalism,Interactive,Personal interest,View,2024-04-08 19:35:37.842203,59,1002,3.351088918712124,2001,725,5.168355974742875,Environmental Science Explorations,EthicEase
Introduction to Engineering,A comprehensive guide to Engineering.,Kevin Lee,Engineering,Beginner,Text,12.0,50.0,80.0,Engineering,1548,16,Journalism,Interactive,Personal interest,View,2024-04-08 19:35:37.842203,59,1015,4.770264618723493,2001,725,5.168355974742875,Materials Science Lab,Histopedia
Introduction to Engineering,A comprehensive guide to Engineering.,Kevin Lee,Engineering,Beginner,Text,12.0,50.0,80.0,Engineering,1548,16,Journalism,Interactive,Personal interest,Bookmark,2024-03-23 19:35:37.842203,2,1002,3.351088918712124,2001,725,5.168355974742875,Game Design Workshop,NeuroNest
Introduction to Engineering,A comprehensive guide to Engineering.,Kevin Lee,Engineering,Beginner,Text,12.0,50.0,80.0,Engineering,1548,16,Journalism,Interactive,Personal interest,Bookmark,2024-03-23 19:35:37.842203,2,1015,4.770264618723493,2001,725,5.168355974742875,Biology Basics,PoliSciPro
Introduction to Engineering,A comprehensive guide to Engineering.,Kevin Lee,Engineering,Beginner,Text,12.0,50.0,80.0,Engineering,1548,78,Information Technology,Video,Gain new skills,View,2024-04-08 19:35:37.842203,59,1002,3.351088918712124,2001,725,5.168355974742875,Choreography Masterclass,SupplySense
Introduction to Engineering,A comprehensive guide to Engineering.,Kevin Lee,Engineering,Beginner,Text,12.0,50.0,80.0,Engineering,1548,78,Information Technology,Video,Gain new skills,View,2024-04-08 19:35:37.842203,59,1015,4.770264618723493,2001,725,5.168355974742875,Math Mastery,MateriMagic
Introduction to Engineering,A comprehensive guide to Engineering.,Kevin Lee,Engineering,Beginner,Text,12.0,50.0,80.0,Engineering,1548,78,Information Technology,Video,Gain new skills,Bookmark,2024-03-23 19:35:37.842203,2,1002,3.351088918712124,2001,725,5.168355974742875,Astronomy Adventures,EconEase
Introduction to Engineering,A comprehensive guide to Engineering.,Kevin Lee,Engineering,Beginner,Text,12.0,50.0,80.0,Engineering,1548,78,Information Technology,Video,Gain new skills,Bookmark,2024-03-23 19:35:37.842203,2,1015,4.770264618723493,2001,725,5.168355974742875,Urban Planning Insights,DevPsych
Mastering Human Resources Management,A comprehensive guide to Human Resources Management.,Michael Wilson,Human Resources Management,Intermediate,Text,6.0,30.0,52.0,Human Resources Management,1974,78,Statistics,Text,Personal interest,Like,2024-03-25 19:35:37.848231,28,1002,4.080844105495952,2018,466,2.983264256820956,Aerospace Engineering Explained,NeuroNest
Introduction to Civil Engineering,A comprehensive guide to Civil Engineering.,Jane Smith,Civil Engineering,Intermediate,Interactive,2.0,30.0,82.0,Civil Engineering,259,75,Nutrition,Video,Advance career,View,2024-03-30 19:35:37.853339,92,1002,2.444143157118522,2003,37,4.484531590865448,Developmental Psychology Workshop,AeroEdu
