User ID,Resource ID,Ratings,Time Spent (minutes),Topics/Subjects of Interest,Preferred Learning Formats,Learning Goals/Objectives,Publication Year,Citation Count,Popularity Score
1001,575,3.28904350693697,44,Cognitive Science,Text,Gain new skills,2021,580,6.062141150339228
1001,1377,3.416622277404057,22,Quantum Mechanics,Interactive,Gain new skills,2016,151,0.03881866227608999
1001,1176,1.7424356697184518,78,Wilderness Survival,Video,Gain new skills,2009,325,1.0229357596220856
1001,118,1.7648037712932083,99,Renewable Energy,Video,Gain new skills,2005,912,3.5279550302732687
1001,1641,3.979411116242384,118,Cultural Studies,Video,Gain new skills,2013,225,7.902008162046707
1001,614,1.5625422205115571,33,Supply Chain Management,Interactive,Gain new skills,2021,835,5.368779369103058
1002,1904,2.237992650047041,98,Software Engineering,Text,Personal interest,2021,427,3.9179054619606646
1002,472,3.128438145297174,27,Aerospace Engineering,Video,Advance career,2002,700,2.0457593843243957
1002,964,3.5497193056652203,75,Operations Management,Video,Advance career,2021,768,5.932948371860528
1002,1548,3.351088918712124,16,Journalism,Interactive,Personal interest,2001,725,5.168355974742875
1002,1974,4.080844105495952,78,Statistics,Text,Personal interest,2018,466,2.9832642568209558
1002,259,2.444143157118522,75,Nutrition,Video,Advance career,2003,37,4.484531590865448
1002,376,1.5349236515493851,36,Anthropology,Interactive,Personal interest,2018,982,0.24473563933139375
1002,1259,3.278540602666528,24,Cybersecurity,Video,Advance career,2009,910,7.002203382890104
1003,1897,3.301843231025509,111,Civil Engineering,Video,Advance career,2022,832,2.042859827475565
1003,28,1.574407531022182,54,Quantum Computing,Text,Advance career,2005,12,0.7880025055454742
1003,41,1.850352643093308,49,Linguistic Anthropology,Interactive,Personal interest,2009,774,6.2189965930629825
1003,1796,4.129651526262386,68,Zoology,Interactive,Personal interest,2006,980,0.037198984212447606
1003,1053,1.7798149388321374,14,Linguistics,Interactive,Advance career,2014,183,4.062115339978122
1003,1211,4.427679191198122,15,Cryptography,Interactive,Advance career,2016,127,2.1899103205567707
1004,399,1.9754780248472013,108,Communication Studies,Text,Advance career,2011,209,8.339064261237418
1004,1278,1.772292596209058,110,Quantum Mechanics,Interactive,Gain new skills,2011,840,8.80803116755626
1004,205,3.195606662844869,60,Architecture,Video,Gain new skills,2014,560,4.084040181356076
1004,1571,2.259625628677316,22,Macroeconomics,Text,Gain new skills,2005,340,8.865664843140507
1004,1040,4.079577062519778,104,Cryptocurrency Trading,Text,Gain new skills,2020,378,7.337830968216476
1005,163,4.392154976945087,45,Cultural Studies,Interactive,Gain new skills,2004,432,1.2365976467620732
1005,843,4.326505029173365,95,Art History,Interactive,Gain new skills,2011,891,7.1675750991196985
1005,432,3.734265935293675,58,English Language,Video,Personal interest,2021,205,1.0639249308646404
1005,1434,4.470462340985581,105,Art History,Text,Gain new skills,2021,103,1.178208185392735
1005,143,4.995704799001729,59,Social Media Management,Text,Gain new skills,2002,179,5.770023655640122
1005,482,2.1834495614386515,31,Ethics,Video,Advance career,2007,980,5.859691736815195
1005,1949,1.1842257456742376,77,Medicine,Text,Advance career,2011,390,0.4609642855686258
1005,835,3.679156649681675,119,Ethics,Video,Personal interest,2017,893,8.824358272097022
1005,477,3.415905057671241,94,Software Engineering,Video,Advance career,2004,571,6.451665522385114
1005,228,2.4270923727308245,37,Biochemistry,Interactive,Personal interest,2014,812,0.30312822146115415
1005,1352,1.6815954505440796,64,Choreography,Text,Advance career,2021,527,2.6638018935076966
1005,1141,2.343547018730161,66,Wilderness Survival,Interactive,Advance career,2001,126,6.861833021976091
1005,770,3.269650024588548,29,Quantum Computing,Interactive,Gain new skills,2002,256,1.746004425122053
1005,70,3.768042965068986,89,Paleontology,Text,Personal interest,2015,766,7.299713890505829
1005,1147,3.395782942490188,69,Information Technology,Text,Personal interest,2016,677,7.435711247886379
1006,454,3.945970177045096,30,Conflict Resolution,Interactive,Advance career,2013,396,4.3523855025069444
1006,893,2.155241597104593,8,Marketing,Interactive,Gain new skills,2004,750,4.668932714042477
1006,1183,1.5688740886418375,82,Social Media Management,Text,Personal interest,2017,946,2.8644148295040592
1006,651,1.610107851802557,47,Genetics,Interactive,Gain new skills,2003,914,2.6432743856076755
1006,105,3.731475106558901,13,Quantum Mechanics,Interactive,Gain new skills,2010,980,6.713257220731688
1006,1047,1.2955833102557746,55,Supply Chain Management,Interactive,Advance career,2019,333,6.894379750418711
1007,759,2.169831412725934,29,Cryptocurrency Trading,Video,Advance career,2012,815,4.937342234789095
1007,1171,1.0748110514548477,52,Quantum Computing,Video,Gain new skills,2006,767,7.574303148940285
1007,672,4.983863087002902,99,Communication Studies,Video,Personal interest,2009,382,1.4486353117047068
1007,555,3.632513575413122,51,Law,Text,Advance career,2015,625,3.342932085703393
1007,500,3.6542363536020455,35,Quantum Computing,Interactive,Personal interest,2014,986,3.867701165402476
1007,1540,3.682961239309875,88,Mechanical Engineering,Text,Advance career,2003,33,9.562456609565618
1007,1642,1.0892564615231843,44,Political Science,Video,Gain new skills,2011,677,5.338031614214148
1007,541,2.8479820092515853,120,Human Resources Management,Interactive,Advance career,2012,122,7.836666648886402
1007,269,4.089199064778812,22,Human Rights,Interactive,Gain new skills,2013,275,9.230786974379164
1007,1161,4.908842861818592,9,Chemistry,Interactive,Advance career,2004,657,9.00926048642025
1007,1723,4.264713077376207,5,Information Technology,Interactive,Advance career,2016,250,1.4193855703593605
1007,1702,4.993802232352079,22,Marketing,Text,Gain new skills,2009,453,8.722085194133282
1007,1687,1.02924521257344,45,Organizational Behavior,Video,Advance career,2002,924,7.284940939700862
1007,1182,1.4972043880122854,68,Social Media Management,Video,Personal interest,2013,822,9.261826347646437
1008,356,1.6309071972108409,119,Conflict Resolution,Interactive,Gain new skills,2022,385,7.3826569153208945
1008,531,3.762440383480286,32,Ethics,Interactive,Gain new skills,2022,490,8.500110470811425
1008,357,4.917997804204617,49,Materials Science,Interactive,Gain new skills,2001,28,0.44332363847149336
1008,1084,3.7007378565035633,97,Computer Science,Video,Advance career,2019,835,3.3368985249461347
1008,303,1.8727307136385505,60,Materials Science,Video,Gain new skills,2020,30,5.825504149971346
1008,350,4.850306439464133,52,Quantum Computing,Interactive,Advance career,2017,676,4.443906243577448
1009,1359,3.736739931995677,84,Communication Studies,Video,Advance career,2015,471,2.7168888575849293
1009,1592,2.022623959141629,16,Genetics,Text,Personal interest,2001,606,0.017584118866054155
1009,170,3.2593977153687845,30,Photography,Video,Personal interest,2013,581,2.1801945548618384
1009,1841,3.099178041499146,17,Cryptography,Interactive,Gain new skills,2003,99,4.791452001743987
1009,1716,3.934060824134853,54,Macroeconomics,Interactive,Personal interest,2010,925,1.95917162578377
1009,200,2.9791934156991235,15,Urban Planning,Interactive,Advance career,2021,549,4.023409638200305
1009,37,4.633079229136508,59,Political Science,Text,Personal interest,2009,16,7.5651427179452195
1010,1168,2.852453677675776,80,Environmental Science,Text,Gain new skills,2019,235,8.052719836801124
1010,204,3.058260906166832,72,Genetics,Interactive,Personal interest,2002,186,3.0584808366520564
1010,1901,2.667253460964689,26,Robotics,Interactive,Advance career,2015,677,5.000890954252331
1010,1152,3.4861339829788944,73,Ethics,Text,Advance career,2006,539,2.5178594124585993
1010,1096,1.8841093909805573,58,Materials Science,Interactive,Personal interest,2002,712,9.385599595313796
1010,1723,1.944343267692214,77,Economics,Text,Personal interest,2016,250,1.4193855703593605
1010,1743,1.7859531091822318,18,Developmental Psychology,Interactive,Personal interest,2004,922,3.925006337392476
1010,1085,1.98531980913201,7,Civil Engineering,Video,Gain new skills,2020,979,9.214502493548322
1010,1872,4.743988642083755,104,Pharmacology,Video,Personal interest,2002,305,7.480331205446303
1010,319,3.314607883569604,28,Political Science,Text,Gain new skills,2000,975,8.279745119837774
1010,1785,2.794387752084432,116,Software Engineering,Interactive,Personal interest,2001,586,8.629941970142937
1010,1488,3.6440715792998697,53,Film Studies,Video,Gain new skills,2012,272,2.9953796201580776
1010,1596,1.6258821264799286,35,Law,Video,Personal interest,2019,154,7.312057273301824
1010,1773,1.7899971400549155,88,Macroeconomics,Video,Personal interest,2022,591,4.237290183372489
1010,1458,4.536002438327209,39,Computer Science,Text,Gain new skills,2022,841,3.210312792401128
