User ID,Resource ID,Ratings,Time Spent (minutes),Topics/Subjects of Interest,Preferred Learning Formats,Learning Goals/Objectives
1001,575,3.28904350693697,44,Cognitive Science,Text,Gain new skills
1001,1377,3.416622277404057,22,Quantum Mechanics,Interactive,Gain new skills
1001,1176,1.7424356697184518,78,Wilderness Survival,Video,Gain new skills
1001,118,1.7648037712932085,99,Renewable Energy,Video,Gain new skills
1001,1641,3.979411116242384,118,Cultural Studies,Video,Gain new skills
1001,614,1.5625422205115571,33,Supply Chain Management,Interactive,Gain new skills
1002,1904,2.237992650047041,98,Software Engineering,Text,Personal interest
1002,472,3.128438145297174,27,Aerospace Engineering,Video,Advance career
1002,964,3.5497193056652203,75,Operations Management,Video,Advance career
1002,1548,3.351088918712124,16,Journalism,Interactive,Personal interest
1002,1974,4.0808441054959514,78,Statistics,Text,Personal interest
1002,259,2.444143157118522,75,Nutrition,Video,Advance career
1002,376,1.5349236515493851,36,Anthropology,Interactive,Personal interest
1002,1259,3.2785406026665274,24,Cybersecurity,Video,Advance career
1003,1897,3.301843231025509,111,Civil Engineering,Video,Advance career
1003,28,1.5744075310221821,54,Quantum Computing,Text,Advance career
1003,41,1.850352643093308,49,Linguistic Anthropology,Interactive,Personal interest
1003,1796,4.129651526262386,68,Zoology,Interactive,Personal interest
1003,1053,1.7798149388321374,14,Linguistics,Interactive,Advance career
1003,1211,4.427679191198122,15,Cryptography,Interactive,Advance career
1004,399,1.9754780248472015,108,Communication Studies,Text,Advance career
1004,1278,1.7722925962090579,110,Quantum Mechanics,Interactive,Gain new skills
1004,205,3.195606662844869,60,Architecture,Video,Gain new skills
1004,1571,2.259625628677316,22,Macroeconomics,Text,Gain new skills
1004,1040,4.079577062519778,104,Cryptocurrency Trading,Text,Gain new skills
1005,163,4.392154976945087,45,Cultural Studies,Interactive,Gain new skills
1005,843,4.326505029173365,95,Art History,Interactive,Gain new skills
1005,432,3.734265935293675,58,English Language,Video,Personal interest
1005,1434,4.470462340985581,105,Art History,Text,Gain new skills
1005,143,4.995704799001729,59,Social Media Management,Text,Gain new skills
1005,482,2.1834495614386515,31,Ethics,Video,Advance career
1005,1949,1.1842257456742376,77,Medicine,Text,Advance career
1005,835,3.6791566496816754,119,Ethics,Video,Personal interest
1005,477,3.415905057671241,94,Software Engineering,Video,Advance career
1005,228,2.4270923727308245,37,Biochemistry,Interactive,Personal interest
1005,1352,1.6815954505440796,64,Choreography,Text,Advance career
1005,1141,2.3435470187301615,66,Wilderness Survival,Interactive,Advance career
1005,770,3.269650024588548,29,Quantum Computing,Interactive,Gain new skills
1005,70,3.768042965068986,89,Paleontology,Text,Personal interest
1005,1147,3.395782942490188,69,Information Technology,Text,Personal interest
1006,454,3.9459701770450955,30,Conflict Resolution,Interactive,Advance career
1006,893,2.155241597104593,8,Marketing,Interactive,Gain new skills
1006,1183,1.5688740886418375,82,Social Media Management,Text,Personal interest
1006,651,1.610107851802557,47,Genetics,Interactive,Gain new skills
1006,105,3.7314751065589005,13,Quantum Mechanics,Interactive,Gain new skills
1006,1047,1.2955833102557746,55,Supply Chain Management,Interactive,Advance career
1007,759,2.169831412725934,29,Cryptocurrency Trading,Video,Advance career
1007,1171,1.0748110514548475,52,Quantum Computing,Video,Gain new skills
1007,672,4.983863087002902,99,Communication Studies,Video,Personal interest
1007,555,3.632513575413122,51,Law,Text,Advance career
1007,500,3.6542363536020455,35,Quantum Computing,Interactive,Personal interest
1007,1540,3.682961239309875,88,Mechanical Engineering,Text,Advance career
1007,1642,1.0892564615231843,44,Political Science,Video,Gain new skills
1007,541,2.8479820092515853,120,Human Resources Management,Interactive,Advance career
1007,269,4.089199064778812,22,Human Rights,Interactive,Gain new skills
1007,1161,4.908842861818592,9,Chemistry,Interactive,Advance career
1007,1723,4.264713077376207,5,Information Technology,Interactive,Advance career
1007,1702,4.993802232352079,22,Marketing,Text,Gain new skills
1007,1687,1.0292452125734401,45,Organizational Behavior,Video,Advance career
1007,1182,1.4972043880122854,68,Social Media Management,Video,Personal interest
1008,356,1.6309071972108407,119,Conflict Resolution,Interactive,Gain new skills
1008,531,3.762440383480286,32,Ethics,Interactive,Gain new skills
1008,357,4.917997804204617,49,Materials Science,Interactive,Gain new skills
1008,1084,3.7007378565035633,97,Computer Science,Video,Advance career
1008,303,1.8727307136385503,60,Materials Science,Video,Gain new skills
1008,350,4.850306439464133,52,Quantum Computing,Interactive,Advance career
1009,1359,3.736739931995677,84,Communication Studies,Video,Advance career
1009,1592,2.0226239591416295,16,Genetics,Text,Personal interest
1009,170,3.2593977153687845,30,Photography,Video,Personal interest
1009,1841,3.099178041499146,17,Cryptography,Interactive,Gain new skills
1009,1716,3.934060824134853,54,Macroeconomics,Interactive,Personal interest
1009,200,2.9791934156991235,15,Urban Planning,Interactive,Advance career
1009,37,4.633079229136508,59,Political Science,Text,Personal interest
1010,1168,2.852453677675776,80,Environmental Science,Text,Gain new skills
1010,204,3.058260906166832,72,Genetics,Interactive,Personal interest
1010,1901,2.667253460964689,26,Robotics,Interactive,Advance career
1010,1152,3.4861339829788944,73,Ethics,Text,Advance career
1010,1096,1.8841093909805573,58,Materials Science,Interactive,Personal interest
1010,1723,1.944343267692214,77,Economics,Text,Personal interest
1010,1743,1.7859531091822318,18,Developmental Psychology,Interactive,Personal interest
1010,1085,1.98531980913201,7,Civil Engineering,Video,Gain new skills
1010,1872,4.743988642083755,104,Pharmacology,Video,Personal interest
1010,319,3.3146078835696042,28,Political Science,Text,Gain new skills
1010,1785,2.794387752084432,116,Software Engineering,Interactive,Personal interest
1010,1488,3.6440715792998697,53,Film Studies,Video,Gain new skills
1010,1596,1.6258821264799286,35,Law,Video,Personal interest
1010,1773,1.7899971400549157,88,Macroeconomics,Video,Personal interest
1010,1458,4.536002438327209,39,Computer Science,Text,Gain new skills
1011,793,4.080460555999753,100,Behavioral Economics,Interactive,Advance career
1011,223,4.907727025068342,40,Development Studies,Text,Advance career
1011,1245,2.266762000903638,98,Deep Learning,Video,Gain new skills
1011,731,1.2110481013554382,13,Social Media Management,Text,Advance career
1011,1650,1.4943970127750004,109,Physics,Video,Gain new skills
1011,602,3.0012872072175805,66,Linguistics,Text,Advance career
1011,1549,2.6036329347380933,49,Social Media Management,Video,Personal interest
1011,1684,4.495220312430233,92,Cultural Studies,Interactive,Advance career
1011,437,3.2618816372688832,28,Marketing,Video,Advance career
